item,order_date,stockout_date,pred_lead_at_stockout,init_inventory,safety_stock
Ventus Prime4,2025-09-01,2025-09-08,7,694,347
Solus TA31,2025-09-01,2025-09-08,7,629,314
i.Q Series,2025-09-02,2025-09-09,7,618,309
Kinergy EX,2025-09-03,2025-09-10,7,647,323
Majesty9 Solus,2025-09-03,2025-09-11,8,661,330
Krugen HP71,2025-09-15,2025-09-22,7,612,306
