item,order_date,stockout_date,pred_lead_at_stockout,init_inventory,safety_stock
N'PRIZ AH8,2025-08-31,2025-09-07,7,638,319
Kinergy EX,2025-09-03,2025-09-10,7,647,323
Optimo H426,2025-08-29,2025-09-05,7,657,328
Krugen HP71,2025-09-15,2025-09-22,7,612,306
i.Q Series,2025-09-02,2025-09-09,7,618,309
N'Blue HD Plus,2025-08-29,2025-09-05,7,737,368
N'fera AU5,2025-08-27,2025-09-03,7,607,303
Majesty9 Solus,2025-09-03,2025-09-11,8,661,330
Ventus Prime4,2025-09-01,2025-09-08,7,694,347
Ventus Air S,2025-08-30,2025-09-06,7,690,345
Solus TA31,2025-09-01,2025-09-08,7,629,314
