Target,Metric,Value
Demand,MAE,14.312956158035059
Demand,RMSE,17.890042083717645
Demand,R2 Score,-0.06452210193543384
Demand,MAPE (%),115077715186.88553
Demand,SMAPE (%),31.112782271392646
Lead Time,MAE,2.723667621612549
Lead Time,RMSE,3.1657503877079365
Lead Time,R2 Score,-8.702278137207031e-06
