Target,Metric,Value
Demand(Model),MAE,12.243707512644818
Demand(Model),RMSE,15.627122183558576
Demand(Model),R2 Score,0.12007959770857535
Demand(Model),MAPE (%),28.167577525690525
Demand(Model),SMAPE (%),24.11703496778029
Demand(Baseline_Lag1),MAE,20.114781096038413
Demand(Baseline_Lag1),RMSE,25.12856960296783
Demand(Baseline_Lag1),R2 Score,-1.2752069612376356
Demand(Baseline_Lag1),MAPE (%),43.37232024822559
Demand(Baseline_Lag1),SMAPE (%),41.62171972553259
Demand(Baseline_MA7),MAE,16.603285110057417
Demand(Baseline_MA7),RMSE,20.618637493152654
Demand(Baseline_MA7),R2 Score,-0.5318114036300721
Demand(Baseline_MA7),MAPE (%),36.33915864643857
Demand(Baseline_MA7),SMAPE (%),32.74346537228782
Lead(Model),MAE,3.5128487990144337
Lead(Model),RMSE,4.440547806199422
Lead(Model),R2 Score,-0.907787972089773
Lead(Model),MAPE (%),73.5400153516753
Lead(Model),SMAPE (%),52.71239090791926
Lead(Baseline_Lag1),MAE,3.6531332932910208
Lead(Baseline_Lag1),RMSE,4.517072336181637
Lead(Baseline_Lag1),R2 Score,-0.9741088580289219
Lead(Baseline_Lag1),MAPE (%),71.59418471831385
Lead(Baseline_Lag1),SMAPE (%),55.42558506652816
