item_id,APE_median,APE_P90,flag
N'PRIZ AH8,17.785860206353103,49.413515048052396,OK
Kinergy EX,17.739576850528852,49.163409042778184,OK
Optimo H426,17.69233857345216,48.90920187032842,OK
Krugen HP71,17.83117902649749,49.65963635552047,OK
i.Q Series,17.80864243660066,49.53704393949731,OK
N'Blue HD Plus,18.024657325598962,50.72173748135097,OK
N'fera AU5,17.785860206353103,49.413515048052396,OK
Majesty9 Solus,17.80864243660066,49.53704393949731,OK
Ventus Prime4,18.003951749450096,50.60721772132608,OK
Ventus Air S,17.69233857345216,48.90920187032842,OK
Solus TA31,17.919243288893238,50.14061017835989,OK
