item,order_date_p50,order_date_p90,arrival_date,stockout_date,pred_lead_at_stockout,init_inventory,safety_stock
N'PRIZ AH8,2025-09-03,2025-09-03,2025-09-07,2025-09-07,2,638,319
N'Blue HD Plus,2025-09-03,2025-09-03,2025-09-08,2025-09-08,4,737,368
